2023-07-18 13:43:12.781 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 13:43:24.110 - INFO - Mensagem recebida: [R] Request 1|18824|00; Origem: 18824
2023-07-18 13:43:24.110 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18824
2023-07-18 13:43:24.140 - INFO - Mensagem recebida: [R] Request 1|20400|00; Origem: 20400
2023-07-18 13:43:24.172 - INFO - Mensagem recebida: [R] Request 1|21480|00; Origem: 21480
2023-07-18 13:43:24.203 - INFO - Mensagem recebida: [R] Request 1|9540|000; Origem: 9540
2023-07-18 13:43:25.123 - INFO - Mensagem recebida: [R] Release 3|18824|00; Origem: 18824
2023-07-18 13:43:25.124 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20400
2023-07-18 13:43:25.139 - INFO - Mensagem recebida: [R] Request 1|18824|00; Origem: 18824
2023-07-18 13:43:26.144 - INFO - Mensagem recebida: [R] Release 3|20400|00; Origem: 20400
2023-07-18 13:43:26.144 - INFO - Mensagem recebida: [R] Request 1|20400|00; Origem: 20400
2023-07-18 13:43:26.144 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21480
2023-07-18 13:43:27.158 - INFO - Mensagem recebida: [R] Release 3|21480|00; Origem: 21480
2023-07-18 13:43:27.158 - INFO - Mensagem recebida: [R] Request 1|21480|00; Origem: 21480
2023-07-18 13:43:27.158 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9540
2023-07-18 13:43:28.182 - INFO - Mensagem recebida: [R] Release 3|9540|000; Origem: 9540
2023-07-18 13:43:28.182 - INFO - Mensagem recebida: [R] Request 1|9540|000; Origem: 9540
2023-07-18 13:43:28.183 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18824
2023-07-18 13:43:29.196 - INFO - Mensagem recebida: [R] Release 3|18824|00; Origem: 18824
2023-07-18 13:43:29.197 - INFO - Mensagem recebida: [R] Request 1|18824|00; Origem: 18824
2023-07-18 13:43:29.197 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20400
2023-07-18 13:43:30.211 - INFO - Mensagem recebida: [R] Release 3|20400|00; Origem: 20400
2023-07-18 13:43:30.211 - INFO - Mensagem recebida: [R] Request 1|20400|00; Origem: 20400
2023-07-18 13:43:30.211 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21480
2023-07-18 13:43:31.223 - INFO - Mensagem recebida: [R] Release 3|21480|00; Origem: 21480
2023-07-18 13:43:31.223 - INFO - Mensagem recebida: [R] Request 1|21480|00; Origem: 21480
2023-07-18 13:43:31.223 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9540
2023-07-18 13:43:32.235 - INFO - Mensagem recebida: [R] Release 3|9540|000; Origem: 9540
2023-07-18 13:43:32.235 - INFO - Mensagem recebida: [R] Request 1|9540|000; Origem: 9540
2023-07-18 13:43:32.236 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18824
2023-07-18 13:43:33.249 - INFO - Mensagem recebida: [R] Release 3|18824|00; Origem: 18824
2023-07-18 13:43:33.249 - INFO - Mensagem recebida: [R] Request 1|18824|00; Origem: 18824
2023-07-18 13:43:33.249 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20400
2023-07-18 13:43:34.268 - INFO - Mensagem recebida: [R] Release 3|20400|00; Origem: 20400
2023-07-18 13:43:34.268 - INFO - Mensagem recebida: [R] Request 1|20400|00; Origem: 20400
2023-07-18 13:43:34.268 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21480
2023-07-18 13:43:35.286 - INFO - Mensagem recebida: [R] Release 3|21480|00; Origem: 21480
2023-07-18 13:43:35.286 - INFO - Mensagem recebida: [R] Request 1|21480|00; Origem: 21480
2023-07-18 13:43:35.286 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9540
2023-07-18 13:43:36.305 - INFO - Mensagem recebida: [R] Release 3|9540|000; Origem: 9540
2023-07-18 13:43:36.305 - INFO - Mensagem recebida: [R] Request 1|9540|000; Origem: 9540
2023-07-18 13:43:36.305 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18824
2023-07-18 13:43:37.320 - INFO - Mensagem recebida: [R] Release 3|18824|00; Origem: 18824
2023-07-18 13:43:37.320 - INFO - Mensagem recebida: [R] Request 1|18824|00; Origem: 18824
2023-07-18 13:43:37.320 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20400
2023-07-18 13:43:38.346 - INFO - Mensagem recebida: [R] Release 3|20400|00; Origem: 20400
2023-07-18 13:43:38.346 - INFO - Mensagem recebida: [R] Request 1|20400|00; Origem: 20400
2023-07-18 13:43:38.346 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21480
2023-07-18 13:43:39.360 - INFO - Mensagem recebida: [R] Release 3|21480|00; Origem: 21480
2023-07-18 13:43:39.360 - INFO - Mensagem recebida: [R] Request 1|21480|00; Origem: 21480
2023-07-18 13:43:39.360 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9540
2023-07-18 13:43:40.374 - INFO - Mensagem recebida: [R] Release 3|9540|000; Origem: 9540
2023-07-18 13:43:40.374 - INFO - Mensagem recebida: [R] Request 1|9540|000; Origem: 9540
2023-07-18 13:43:40.374 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18824
2023-07-18 13:43:41.397 - INFO - Mensagem recebida: [R] Release 3|18824|00; Origem: 18824
2023-07-18 13:43:41.397 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20400
2023-07-18 13:43:42.412 - INFO - Mensagem recebida: [R] Release 3|20400|00; Origem: 20400
2023-07-18 13:43:42.412 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21480
2023-07-18 13:43:43.423 - INFO - Mensagem recebida: [R] Release 3|21480|00; Origem: 21480
2023-07-18 13:43:43.423 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9540
2023-07-18 13:43:44.437 - INFO - Mensagem recebida: [R] Release 3|9540|000; Origem: 9540
2023-07-18 13:43:44.437 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 13:43:59.724 - INFO - O coordenador foi encerrado
