2023-07-18 14:22:41.071 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 14:22:46.367 - INFO - Mensagem recebida: [R] Request 1|13388|00; Origem: 13388
2023-07-18 14:22:46.367 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 13388
2023-07-18 14:22:46.538 - INFO - Mensagem recebida: [R] Release 3|13388|00; Origem: 13388
2023-07-18 14:22:46.539 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:22:46.648 - INFO - Mensagem recebida: [R] Request 1|13388|00; Origem: 13388
2023-07-18 14:22:46.648 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 13388
2023-07-18 14:22:46.743 - INFO - Mensagem recebida: [R] Release 3|13388|00; Origem: 13388
2023-07-18 14:22:46.743 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:22:46.790 - INFO - Mensagem recebida: [R] Request 1|13388|00; Origem: 13388
2023-07-18 14:22:46.792 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 13388
2023-07-18 14:22:46.933 - INFO - Mensagem recebida: [R] Release 3|13388|00; Origem: 13388
2023-07-18 14:22:46.933 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:22:47.611 - INFO - Mensagem recebida: [R] Request 1|19304|00; Origem: 19304
2023-07-18 14:22:47.611 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19304
2023-07-18 14:22:47.626 - INFO - Mensagem recebida: [R] Release 3|19304|00; Origem: 19304
2023-07-18 14:22:47.627 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:22:47.658 - INFO - Mensagem recebida: [R] Request 1|19304|00; Origem: 19304
2023-07-18 14:22:47.658 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19304
2023-07-18 14:22:47.738 - INFO - Mensagem recebida: [R] Request 1|9964|000; Origem: 9964
2023-07-18 14:22:47.816 - INFO - Mensagem recebida: [R] Release 3|19304|00; Origem: 19304
2023-07-18 14:22:47.816 - INFO - Mensagem recebida: [R] Request 1|19304|00; Origem: 19304
2023-07-18 14:22:47.817 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9964
2023-07-18 14:22:47.832 - INFO - Mensagem recebida: [R] Release 3|9964|000; Origem: 9964
2023-07-18 14:22:47.832 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19304
2023-07-18 14:22:47.941 - INFO - Mensagem recebida: [R] Request 1|7600|000; Origem: 7600
2023-07-18 14:22:48.004 - INFO - Mensagem recebida: [R] Request 1|9964|000; Origem: 9964
2023-07-18 14:22:48.034 - INFO - Mensagem recebida: [R] Request 1|22268|00; Origem: 22268
2023-07-18 14:22:48.081 - INFO - Mensagem recebida: [R] Release 3|19304|00; Origem: 19304
2023-07-18 14:22:48.082 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 7600
2023-07-18 14:22:48.096 - INFO - Mensagem recebida: [R] Release 3|7600|000; Origem: 7600
2023-07-18 14:22:48.096 - INFO - Mensagem recebida: [R] Request 1|7600|000; Origem: 7600
2023-07-18 14:22:48.097 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9964
