2023-07-18 14:21:26.153 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 14:21:33.822 - INFO - Mensagem recebida: [R] Request 1|2508|000; Origem: 2508
2023-07-18 14:21:33.822 - INFO - Mensagem recebida: [R] Request 1|19668|00; Origem: 19668
2023-07-18 14:21:33.822 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2508
2023-07-18 14:21:33.838 - INFO - Mensagem recebida: [R] Release 3|2508|000; Origem: 2508
2023-07-18 14:21:33.838 - INFO - Mensagem recebida: [R] Request 1|2508|000; Origem: 2508
2023-07-18 14:21:33.838 - INFO - Mensagem recebida: [R] Request 1|1536|000; Origem: 1536
2023-07-18 14:21:33.839 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19668
2023-07-18 14:21:33.854 - INFO - Mensagem recebida: [R] Release 3|19668|00; Origem: 19668
2023-07-18 14:21:33.854 - INFO - Mensagem recebida: [R] Request 1|19668|00; Origem: 19668
2023-07-18 14:21:33.854 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2508
2023-07-18 14:21:33.870 - INFO - Mensagem recebida: [R] Request 1|8768|000; Origem: 8768
2023-07-18 14:21:33.902 - INFO - Mensagem recebida: [R] Release 3|2508|000; Origem: 2508
2023-07-18 14:21:33.902 - INFO - Mensagem recebida: [R] Request 1|17548|00; Origem: 17548
2023-07-18 14:21:33.902 - INFO - Mensagem recebida: [R] Request 1|2508|000; Origem: 2508
2023-07-18 14:21:33.902 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 1536
2023-07-18 14:21:33.917 - INFO - Mensagem recebida: [R] Release 3|1536|000; Origem: 1536
2023-07-18 14:21:33.917 - INFO - Mensagem recebida: [R] Request 1|1536|000; Origem: 1536
2023-07-18 14:21:33.917 - INFO - Mensagem recebida: [R] Request 1|22384|00; Origem: 22384
2023-07-18 14:21:33.917 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19668
2023-07-18 14:21:33.933 - INFO - Mensagem recebida: [R] Release 3|19668|00; Origem: 19668
2023-07-18 14:21:33.933 - INFO - Mensagem recebida: [R] Request 1|19668|00; Origem: 19668
2023-07-18 14:21:33.933 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 8768
2023-07-18 14:21:33.949 - INFO - Mensagem recebida: [R] Release 3|8768|000; Origem: 8768
2023-07-18 14:21:33.949 - INFO - Mensagem recebida: [R] Request 1|8768|000; Origem: 8768
2023-07-18 14:21:33.949 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 17548
2023-07-18 14:21:33.965 - INFO - Mensagem recebida: [R] Release 3|17548|00; Origem: 17548
2023-07-18 14:21:33.965 - INFO - Mensagem recebida: [R] Request 1|16328|00; Origem: 16328
2023-07-18 14:21:33.965 - INFO - Mensagem recebida: [R] Request 1|17548|00; Origem: 17548
2023-07-18 14:21:33.966 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2508
