2023-07-18 14:24:27.342 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 14:24:40.325 - INFO - Mensagem recebida: [R] Request 1|21432|00; Origem: 21432
2023-07-18 14:24:40.325 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21432
2023-07-18 14:24:40.467 - INFO - Mensagem recebida: [R] Release 3|21432|00; Origem: 21432
2023-07-18 14:24:40.467 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:24:41.268 - INFO - Mensagem recebida: [R] Request 1|21432|00; Origem: 21432
2023-07-18 14:24:41.268 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21432
2023-07-18 14:24:41.821 - INFO - Mensagem recebida: [R] Release 3|21432|00; Origem: 21432
2023-07-18 14:24:41.821 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:24:41.883 - INFO - Mensagem recebida: [R] Request 1|21432|00; Origem: 21432
2023-07-18 14:24:41.883 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21432
2023-07-18 14:24:42.476 - INFO - Mensagem recebida: [R] Release 3|21432|00; Origem: 21432
2023-07-18 14:24:42.476 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:24:42.726 - INFO - Mensagem recebida: [R] Request 1|6584|000; Origem: 6584
2023-07-18 14:24:42.727 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6584
2023-07-18 14:24:43.106 - INFO - Mensagem recebida: [R] Request 1|9756|000; Origem: 9756
2023-07-18 14:24:43.498 - INFO - Mensagem recebida: [R] Release 3|6584|000; Origem: 6584
2023-07-18 14:24:43.498 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9756
2023-07-18 14:24:43.639 - INFO - Mensagem recebida: [R] Request 1|6584|000; Origem: 6584
2023-07-18 14:24:43.686 - INFO - Mensagem recebida: [R] Request 1|22072|00; Origem: 22072
2023-07-18 14:24:43.842 - INFO - Mensagem recebida: [R] Release 3|9756|000; Origem: 9756
2023-07-18 14:24:43.842 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6584
2023-07-18 14:24:44.096 - INFO - Mensagem recebida: [R] Request 1|21776|00; Origem: 21776
2023-07-18 14:24:44.128 - INFO - Mensagem recebida: [R] Request 1|9756|000; Origem: 9756
2023-07-18 14:24:44.144 - INFO - Mensagem recebida: [R] Release 3|6584|000; Origem: 6584
2023-07-18 14:24:44.144 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 22072
2023-07-18 14:24:44.175 - INFO - Mensagem recebida: [R] Request 1|9084|000; Origem: 9084
2023-07-18 14:24:44.268 - INFO - Mensagem recebida: [R] Request 1|6584|000; Origem: 6584
2023-07-18 14:24:44.582 - INFO - Mensagem recebida: [R] Request 1|5320|000; Origem: 5320
2023-07-18 14:24:44.850 - INFO - Mensagem recebida: [R] Release 3|22072|00; Origem: 22072
2023-07-18 14:24:44.850 - INFO - Mensagem recebida: [R] Request 1|13348|00; Origem: 13348
2023-07-18 14:24:44.850 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21776
2023-07-18 14:24:44.929 - INFO - Mensagem recebida: [R] Request 1|22072|00; Origem: 22072
2023-07-18 14:24:45.053 - INFO - Mensagem recebida: [R] Request 1|20324|00; Origem: 20324
2023-07-18 14:24:45.115 - INFO - Mensagem recebida: [R] Release 3|21776|00; Origem: 21776
2023-07-18 14:24:45.115 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9756
2023-07-18 14:24:45.182 - INFO - Mensagem recebida: [R] Request 1|21776|00; Origem: 21776
2023-07-18 14:24:45.305 - INFO - Mensagem recebida: [R] Release 3|9756|000; Origem: 9756
2023-07-18 14:24:45.306 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9084
2023-07-18 14:24:45.416 - INFO - Mensagem recebida: [R] Request 1|9756|000; Origem: 9756
2023-07-18 14:24:45.416 - INFO - Mensagem recebida: [R] Request 1|7600|000; Origem: 7600
2023-07-18 14:24:45.448 - INFO - Mensagem recebida: [R] Release 3|9084|000; Origem: 9084
2023-07-18 14:24:45.448 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6584
2023-07-18 14:24:45.618 - INFO - Mensagem recebida: [R] Request 1|9084|000; Origem: 9084
2023-07-18 14:24:45.746 - INFO - Mensagem recebida: [R] Request 1|17100|00; Origem: 17100
2023-07-18 14:24:46.220 - INFO - Mensagem recebida: [R] Release 3|6584|000; Origem: 6584
2023-07-18 14:24:46.220 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 5320
2023-07-18 14:24:46.250 - INFO - Mensagem recebida: [R] Request 1|19008|00; Origem: 19008
2023-07-18 14:24:47.258 - INFO - Mensagem recebida: [R] Request 1|19024|00; Origem: 19024
2023-07-18 14:24:47.258 - INFO - Mensagem recebida: [R] Request 1|2992|000; Origem: 2992
2023-07-18 14:24:47.322 - INFO - Mensagem recebida: [R] Release 3|5320|000; Origem: 5320
2023-07-18 14:24:47.322 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 13348
2023-07-18 14:24:47.369 - INFO - Mensagem recebida: [R] Request 1|21844|00; Origem: 21844
2023-07-18 14:24:47.430 - INFO - Mensagem recebida: [R] Request 1|9416|000; Origem: 9416
2023-07-18 14:24:47.445 - INFO - Mensagem recebida: [R] Request 1|5320|000; Origem: 5320
2023-07-18 14:24:47.540 - INFO - Mensagem recebida: [R] Release 3|13348|00; Origem: 13348
2023-07-18 14:24:47.540 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 22072
2023-07-18 14:24:47.684 - INFO - Mensagem recebida: [R] Request 1|13348|00; Origem: 13348
2023-07-18 14:24:47.737 - INFO - Mensagem recebida: [R] Request 1|19212|00; Origem: 19212
2023-07-18 14:24:48.139 - INFO - Mensagem recebida: [R] Request 1|23184|00; Origem: 23184
2023-07-18 14:24:48.201 - INFO - Mensagem recebida: [R] Release 3|22072|00; Origem: 22072
2023-07-18 14:24:48.201 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20324
2023-07-18 14:24:48.217 - INFO - Mensagem recebida: [R] Release 3|20324|00; Origem: 20324
2023-07-18 14:24:48.217 - INFO - Mensagem recebida: [R] Request 1|20324|00; Origem: 20324
2023-07-18 14:24:48.217 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21776
2023-07-18 14:24:48.246 - INFO - Mensagem recebida: [R] Request 1|22072|00; Origem: 22072
2023-07-18 14:24:48.499 - INFO - Mensagem recebida: [R] Request 1|16156|00; Origem: 16156
2023-07-18 14:24:48.546 - INFO - Mensagem recebida: [R] Release 3|21776|00; Origem: 21776
2023-07-18 14:24:48.546 - INFO - Mensagem recebida: [R] Request 1|21776|00; Origem: 21776
2023-07-18 14:24:48.546 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9756
2023-07-18 14:24:48.717 - INFO - Mensagem recebida: [R] Request 1|17772|00; Origem: 17772
2023-07-18 14:24:48.765 - INFO - Mensagem recebida: [R] Release 3|9756|000; Origem: 9756
2023-07-18 14:24:48.765 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 7600
2023-07-18 14:24:48.922 - INFO - Mensagem recebida: [R] Request 1|22256|00; Origem: 22256
2023-07-18 14:24:49.235 - INFO - Mensagem recebida: [R] Release 3|7600|000; Origem: 7600
2023-07-18 14:24:49.236 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9084
2023-07-18 14:24:49.250 - INFO - Mensagem recebida: [R] Release 3|9084|000; Origem: 9084
2023-07-18 14:24:49.250 - INFO - Mensagem recebida: [R] Request 1|9084|000; Origem: 9084
2023-07-18 14:24:49.250 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 17100
2023-07-18 14:24:49.296 - INFO - Mensagem recebida: [R] Request 1|7600|000; Origem: 7600
2023-07-18 14:24:49.374 - INFO - Mensagem recebida: [R] Request 1|19700|00; Origem: 19700
2023-07-18 14:24:49.485 - INFO - Mensagem recebida: [R] Release 3|17100|00; Origem: 17100
2023-07-18 14:24:49.485 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19008
2023-07-18 14:24:49.501 - INFO - Mensagem recebida: [R] Request 1|17100|00; Origem: 17100
2023-07-18 14:24:49.612 - INFO - Mensagem recebida: [R] Release 3|19008|00; Origem: 19008
2023-07-18 14:24:49.612 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19024
2023-07-18 14:24:49.628 - INFO - Mensagem recebida: [R] Request 1|22160|00; Origem: 22160
2023-07-18 14:24:49.768 - INFO - Mensagem recebida: [R] Release 3|19024|00; Origem: 19024
2023-07-18 14:24:49.768 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2992
2023-07-18 14:24:49.790 - INFO - Mensagem recebida: [R] Request 1|19008|00; Origem: 19008
2023-07-18 14:24:49.987 - INFO - Mensagem recebida: [R] Request 1|19024|00; Origem: 19024
2023-07-18 14:24:50.003 - INFO - Mensagem recebida: [R] Release 3|2992|000; Origem: 2992
2023-07-18 14:24:50.004 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21844
2023-07-18 14:24:50.137 - INFO - Mensagem recebida: [R] Request 1|14744|00; Origem: 14744
2023-07-18 14:24:50.492 - INFO - Mensagem recebida: [R] Request 1|2992|000; Origem: 2992
2023-07-18 14:24:50.546 - INFO - Mensagem recebida: [R] Release 3|21844|00; Origem: 21844
2023-07-18 14:24:50.546 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 9416
2023-07-18 14:24:50.556 - INFO - Mensagem recebida: [R] Request 1|18640|00; Origem: 18640
2023-07-18 14:24:50.636 - INFO - Mensagem recebida: [R] Request 1|21844|00; Origem: 21844
2023-07-18 14:24:50.794 - INFO - Mensagem recebida: [R] Release 3|9416|000; Origem: 9416
2023-07-18 14:24:50.794 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 5320
2023-07-18 14:24:50.810 - INFO - Mensagem recebida: [R] Release 3|5320|000; Origem: 5320
2023-07-18 14:24:50.810 - INFO - Mensagem recebida: [R] Request 1|5320|000; Origem: 5320
2023-07-18 14:24:50.810 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 13348
2023-07-18 14:24:50.826 - INFO - Mensagem recebida: [R] Request 1|22840|00; Origem: 22840
2023-07-18 14:24:50.841 - INFO - Mensagem recebida: [R] Request 1|9416|000; Origem: 9416
2023-07-18 14:24:50.968 - INFO - Mensagem recebida: [R] Release 3|13348|00; Origem: 13348
2023-07-18 14:24:50.968 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19212
2023-07-18 14:24:51.007 - INFO - Mensagem recebida: [R] Release 3|19212|00; Origem: 19212
2023-07-18 14:24:51.008 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 23184
2023-07-18 14:24:51.029 - INFO - Mensagem recebida: [R] Request 1|19212|00; Origem: 19212
2023-07-18 14:24:51.045 - INFO - Mensagem recebida: [R] Request 1|13348|00; Origem: 13348
2023-07-18 14:24:51.171 - INFO - Mensagem recebida: [R] Release 3|23184|00; Origem: 23184
2023-07-18 14:24:51.171 - INFO - Mensagem recebida: [R] Request 1|8228|000; Origem: 8228
2023-07-18 14:24:51.171 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20324
2023-07-18 14:24:51.226 - INFO - Mensagem recebida: [R] Request 1|23184|00; Origem: 23184
2023-07-18 14:24:51.328 - INFO - Mensagem recebida: [R] Request 1|8288|000; Origem: 8288
2023-07-18 14:24:51.562 - INFO - Mensagem recebida: [R] Request 1|19288|00; Origem: 19288
2023-07-18 14:24:51.613 - INFO - Mensagem recebida: [R] Release 3|20324|00; Origem: 20324
